elapsedSeconds,cpuCorePercent,workingSetMiB,aliveProcesses
1.001,54.66,1172.582,4
2.001,418.404,1246.281,4
3.001,121.742,1285.203,4
4.001,299.787,1321.5,4
5.002,218.323,1292.633,4
6.001,533.586,1291.867,4
7.003,268.038,1303.043,4
8.0,48.414,1306.66,4
9.001,15.611,1307.961,4
10.0,21.866,1304.922,4
11.001,20.296,1172.598,4
12.001,142.115,1264.746,4
13.001,117.038,1299.586,4
14.002,40.547,1296.285,4
15.001,40.593,1301.516,4
16.001,652.248,1309.555,4
17.002,329.145,1327.449,4
18.0,29.674,1331.859,4
19.001,95.25,1319.262,4
20.0,34.361,1321.648,4
21.001,20.29,1165.316,4
22.0,26.551,1211.215,4
23.002,17.161,1232.988,4
24.001,9.367,1229.629,4
25.002,38.999,1236.652,4
26.001,14.045,1201.992,4
27.0,14.057,1205.395,4
28.001,17.166,1221.762,4
29.001,9.366,1222.93,4
30.0,23.428,1207.66,4
31.001,12.491,1222.766,4
32.001,18.74,1227.762,4
33.001,21.861,1229.125,4
34.001,4.685,1210.883,4
35.001,24.982,1229.258,4
36.001,9.368,1231.191,4
37.0,18.743,1238.133,4
38.0,12.495,1238.082,4
39.0,12.494,1237.973,4
40.003,12.458,1231.887,4
41.002,18.714,1241.777,4
42.001,42.151,1250.301,4
43.0,31.237,1254.48,4
44.001,14.045,1253.508,4
45.0,20.305,1248.711,4
46.001,12.491,1254.227,4
47.0,0.0,1255.141,4
