elapsedSeconds,cpuCorePercent,workingSetMiB,aliveProcesses
1.0,15.624,459.137,1
2.001,135.824,466.285,1
3.001,151.454,488.328,1
4.001,57.767,486.211,1
5.0,37.482,486.906,1
6.0,29.676,487.652,1
7.001,20.285,489.0,1
8.001,29.667,437.855,1
9.0,28.114,462.195,1
10.0,18.743,470.223,1
11.001,17.175,471.086,1
12.001,14.054,471.098,1
13.0,14.059,397.578,1
14.001,6.246,404.016,1
15.0,9.372,405.203,1
16.002,18.703,413.441,1
17.001,20.302,417.047,1
18.001,7.807,417.547,1
19.0,18.743,419.426,1
20.002,4.679,419.441,1
21.001,9.366,419.66,1
22.0,17.183,419.891,1
23.0,7.81,419.895,1
24.001,9.37,420.492,1
25.001,12.492,420.684,1
26.0,9.372,420.684,1
27.001,17.177,421.051,1
28.001,7.807,421.051,1
29.001,4.684,422.711,1
30.0,17.181,422.711,1
31.001,12.489,422.719,1
32.001,9.362,422.953,1
33.001,18.737,422.98,1
34.001,15.61,425.742,1
35.001,10.931,425.746,1
36.001,14.047,426.004,1
37.0,12.497,426.004,1
38.0,7.81,425.949,1
39.001,14.043,425.949,1
40.001,9.364,425.949,1
41.0,6.248,425.953,1
42.0,12.495,426.949,1
43.001,15.615,426.949,1
44.001,12.486,426.953,1
45.001,7.806,426.953,1
46.001,4.685,426.953,1
47.0,0.0,426.953,1
48.0,0.0,426.957,1
49.0,0.0,426.91,1
50.0,0.0,426.91,1
51.0,0.0,426.91,1
52.0,0.0,426.91,1
